"Serial","ID","Asset Number","Friendly Name","Username","First Name","Last Name","Email","Model","OS","IMEI","Wi-Fi MAC Address","Last Seen","Tags","Organization Group"
"D74HYTD9LT","SC875","จักราชวิทยา_SC875","จักราชวิทยา_SC875_D74HYTD9LT","Student_175_1030201383","Student175","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850156726","AC:82:F0:9F:9B:82","6/8/2026 2:38:25 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"HCFC4R7WDN","SC788","จักราชวิทยา_SC788","จักราชวิทยา_SC788_HCFC4R7WDN","Student_158_1030201383","Student158","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850319928","AC:82:F0:A3:44:B4","6/8/2026 2:38:19 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"MD2GVGYVYG","SC964","จักราชวิทยา_SC964","จักราชวิทยา_SC964_MD2GVGYVYG","Student_193_1030201383","Student193","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850307931","AC:82:F0:9D:1D:70","6/8/2026 2:38:15 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"M773WQYXJ5","SC1054","จักราชวิทยา_SC1054","จักราชวิทยา_SC1054_M773WQYXJ5","Student_211_1030201383","Student211","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850932308","AC:82:F0:AD:05:AB","6/8/2026 2:37:53 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"KHQN6VC6KK","SC1072","จักราชวิทยา_SC1072","จักราชวิทยา_SC1072_KHQN6VC6KK","Student_215_1030201383","Student215","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850923331","AC:82:F0:A8:31:EA","6/8/2026 2:37:44 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"JKYHHMQ1VM","SC408","จักราชวิทยา_SC408","จักราชวิทยา_SC408_JKYHHMQ1VM","Student_82_1030201383","Student82","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.2.1","357879850059904","AC:82:F0:A8:C9:58","6/8/2026 2:37:35 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"HFW1R4JQPK","SC593","จักราชวิทยา_SC593","จักราชวิทยา_SC593_HFW1R4JQPK","Student_119_1030201383","Student119","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850963832","AC:82:F0:AD:5B:79","6/8/2026 2:37:34 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"JJ4NK9PYPN","SC840","จักราชวิทยา_SC840","จักราชวิทยา_SC840_JJ4NK9PYPN","Student_168_1030201383","Student168","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850718376","AC:82:F0:AA:D3:29","6/8/2026 2:37:27 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"D44TYQ5FK6","SC830","จักราชวิทยา_SC830","จักราชวิทยา_SC830_D44TYQ5FK6","Student_166_1030201383","Student166","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850341302","AC:82:F0:AA:27:C3","6/8/2026 2:37:24 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"FQHCQVP42P","SC416","จักราชวิทยา_SC416","จักราชวิทยา_SC416_FQHCQVP42P","Student_84_1030201383","Student84","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850688058","AC:82:F0:A8:7B:E5","6/8/2026 2:37:23 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"CMWLWL4PW1","SC378","จักราชวิทยา_SC378","จักราชวิทยา_SC378_CMWLWL4PW1","Student_76_1030201383","Student76","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850215290","AC:82:F0:AA:EF:6A","6/8/2026 2:37:22 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"M63M2QNWN2","SC197","จักราชวิทยา_SC197","จักราชวิทยา_SC197_M63M2QNWN2","Student_40_1030201383","Student40","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.4.2","357585650849861","AC:82:F0:A7:DB:17","6/8/2026 2:37:14 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"DL7N00M2Y0","SC860","จักราชวิทยา_SC860","จักราชวิทยา_SC860_DL7N00M2Y0","Student_172_1030201383","Student172","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850197159","AC:82:F0:A5:C4:B3","6/8/2026 2:37:07 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"LF0JVVVVJX","SC564","จักราชวิทยา_SC564","จักราชวิทยา_SC564_LF0JVVVVJX","Student_113_1030201383","Student113","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850010824","AC:82:F0:9F:91:0F","6/8/2026 2:37:04 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"F9VVF5Q49F","TC45","จักราชวิทยา_TC45","จักราชวิทยา_TC45_F9VVF5Q49F","Teacher_09_1030201383","Teacher09","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850957354","AC:82:F0:A5:13:21","6/8/2026 2:37:02 PM","TC; All; สพม.นครราชสีมา; TC_จักราชวิทยา; จักราชวิทยา","รร.จักราชวิทยา"
"H6Q17NJQWN","SC716","จักราชวิทยา_SC716","จักราชวิทยา_SC716_H6Q17NJQWN","Student_144_1030201383","Student144","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850358397","AC:82:F0:A7:16:1F","6/8/2026 2:36:21 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"GD4DXDC9QT","SC687","จักราชวิทยา_SC687","จักราชวิทยา_SC687_GD4DXDC9QT","Student_138_1030201383","Student138","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850575180","AC:82:F0:9E:1C:42","6/8/2026 2:36:20 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
