"Serial","ID","Asset Number"
"D74HYTD9LT","SC875","จักราชวิทยา_SC875"
"HCFC4R7WDN","SC788","จักราชวิทยา_SC788"
"MD2GVGYVYG","SC964","จักราชวิทยา_SC964"
"M773WQYXJ5","SC1054","จักราชวิทยา_SC1054"
"KHQN6VC6KK","SC1072","จักราชวิทยา_SC1072"
"JKYHHMQ1VM","SC408","จักราชวิทยา_SC408"
"HFW1R4JQPK","SC593","จักราชวิทยา_SC593"
"JJ4NK9PYPN","SC840","จักราชวิทยา_SC840"
"D44TYQ5FK6","SC830","จักราชวิทยา_SC830"
"FQHCQVP42P","SC416","จักราชวิทยา_SC416"
"CMWLWL4PW1","SC378","จักราชวิทยา_SC378"
"M63M2QNWN2","SC197","จักราชวิทยา_SC197"
"DL7N00M2Y0","SC860","จักราชวิทยา_SC860"
"LF0JVVVVJX","SC564","จักราชวิทยา_SC564"
"F9VVF5Q49F","TC45","จักราชวิทยา_TC45"
"H6Q17NJQWN","SC716","จักราชวิทยา_SC716"
"GD4DXDC9QT","SC687","จักราชวิทยา_SC687"
"CH77JWN6GH","SC912","จักราชวิทยา_SC912"
"F799J45YGR","SC502","จักราชวิทยา_SC502"
"CMF93XKHQ6","SC115","จักราชวิทยา_SC115"
"GYV2334TXL","SC417","จักราชวิทยา_SC417"
"MFH3Q992NN","SC215","จักราชวิทยา_SC215"
"H4NVK3XRWK","SC466","จักราชวิทยา_SC466"
"MP43D7PWR4","SC476","จักราชวิทยา_SC476"
"J49W5QDQJT","SC728","จักราชวิทยา_SC728"
"LP979VMVTG","SC556","จักราชวิทยา_SC556"
"G76H06MXYC","SC426","จักราชวิทยา_SC426"
"JVMWFP437K","SC198","จักราชวิทยา_SC198"
"J1QQ9T40MF","SC677","จักราชวิทยา_SC677"
"J6FGPD63N9","SC233","จักราชวิทยา_SC233"
"FNX42R09VC","SC377","จักราชวิทยา_SC377"
"HQKXW3V653","SC193","จักราชวิทยา_SC193"
"JFMWT9KL7H","SC542","จักราชวิทยา_SC542"
"D57JGKLQ2R","SC336","จักราชวิทยา_SC336"
"LG3G9LXLN4","TC23","จักราชวิทยา_TC23"
